parameter,value,domain,congruency,par_class
mu_alphaV_inc,0.0121525,V,inc,learning
mu_alphaP_con,0.0648755,P,con,learning
mu_alphaP_inc,0.0110101,P,inc,learning
mu_alphaV_con,0.116501,V,con,learning
mu_alphaV_inc,0.0117597,V,inc,learning
mu_alphaP_con,0.0648202,P,con,learning
mu_alphaP_inc,0.013314,P,inc,learning
mu_alphaV_con,0.113875,V,con,learning
mu_alphaV_inc,0.0127389,V,inc,learning
mu_alphaP_con,0.0645339,P,con,learning
mu_alphaP_inc,0.0110297,P,inc,learning
mu_alphaV_con,0.1214,V,con,learning
mu_alphaV_inc,0.0122338,V,inc,learning
mu_alphaP_con,0.0596434,P,con,learning
mu_alphaP_inc,0.0116746,P,inc,learning
mu_alphaV_con,0.115172,V,con,learning
mu_alphaV_inc,0.0117281,V,inc,learning
mu_alphaP_con,0.0688516,P,con,learning
mu_alphaP_inc,0.0122084,P,inc,learning
mu_alphaV_con,0.121045,V,con,learning
mu_alphaV_inc,0.0124526,V,inc,learning
mu_alphaP_con,0.0593699,P,con,learning
mu_alphaP_inc,0.0112145,P,inc,learning
mu_alphaV_con,0.118368,V,con,learning
mu_alphaV_inc,0.0123985,V,inc,learning
mu_alphaP_con,0.0668248,P,con,learning
mu_alphaP_inc,0.0122241,P,inc,learning
mu_alphaV_con,0.114519,V,con,learning
mu_alphaV_inc,0.0118291,V,inc,learning
mu_alphaP_con,0.0582507,P,con,learning
mu_alphaP_inc,0.0122773,P,inc,learning
mu_alphaV_con,0.112071,V,con,learning
mu_alphaV_inc,0.0129109,V,inc,learning
mu_alphaP_con,0.063045,P,con,learning
mu_alphaP_inc,0.0118029,P,inc,learning
mu_alphaV_con,0.115385,V,con,learning
mu_alphaV_inc,0.012576,V,inc,learning
mu_alphaP_con,0.0620053,P,con,learning
mu_alphaP_inc,0.0134083,P,inc,learning
mu_alphaV_con,0.117642,V,con,learning
mu_alphaV_inc,0.0138443,V,inc,learning
mu_alphaP_con,0.0632662,P,con,learning
mu_alphaP_inc,0.0118669,P,inc,learning
mu_alphaV_con,0.119228,V,con,learning
mu_alphaV_inc,0.0118099,V,inc,learning
mu_alphaP_con,0.0666851,P,con,learning
mu_alphaP_inc,0.0111838,P,inc,learning
mu_alphaV_con,0.114837,V,con,learning
mu_alphaV_inc,0.0132802,V,inc,learning
mu_alphaP_con,0.066483,P,con,learning
mu_alphaP_inc,0.0126175,P,inc,learning
mu_alphaV_con,0.116109,V,con,learning
mu_alphaV_inc,0.0124796,V,inc,learning
mu_alphaP_con,0.0623615,P,con,learning
mu_alphaP_inc,0.013187,P,inc,learning
mu_alphaV_con,0.123066,V,con,learning
mu_alphaV_inc,0.013061,V,inc,learning
mu_alphaP_con,0.0684189,P,con,learning
mu_alphaP_inc,0.012642,P,inc,learning
mu_alphaV_con,0.120036,V,con,learning
mu_alphaV_inc,0.0140779,V,inc,learning
mu_alphaP_con,0.0640466,P,con,learning
mu_alphaP_inc,0.0123353,P,inc,learning
mu_alphaV_con,0.123848,V,con,learning
mu_alphaV_inc,0.014104,V,inc,learning
mu_alphaP_con,0.0595994,P,con,learning
mu_alphaP_inc,0.0125005,P,inc,learning
mu_alphaV_con,0.114609,V,con,learning
mu_alphaV_inc,0.0132321,V,inc,learning
mu_alphaP_con,0.0631302,P,con,learning
mu_alphaP_inc,0.0128876,P,inc,learning
mu_alphaV_con,0.111635,V,con,learning
mu_alphaV_inc,0.0129102,V,inc,learning
mu_alphaP_con,0.0642872,P,con,learning
mu_alphaP_inc,0.010014,P,inc,learning
mu_alphaV_con,0.118652,V,con,learning
mu_alphaV_inc,0.0135098,V,inc,learning
mu_alphaP_con,0.0646935,P,con,learning
mu_alphaP_inc,0.0127919,P,inc,learning
mu_alphaV_con,0.11668,V,con,learning
mu_alphaV_inc,0.012823,V,inc,learning
mu_alphaP_con,0.0719039,P,con,learning
mu_alphaP_inc,0.0103277,P,inc,learning
mu_alphaV_con,0.11598,V,con,learning
mu_alphaV_inc,0.0149817,V,inc,learning
mu_alphaP_con,0.0571922,P,con,learning
mu_alphaP_inc,0.0118858,P,inc,learning
mu_alphaV_con,0.119677,V,con,learning
mu_alphaV_inc,0.0126154,V,inc,learning
mu_alphaP_con,0.0654849,P,con,learning
mu_alphaP_inc,0.012005,P,inc,learning
mu_alphaV_con,0.122233,V,con,learning
mu_alphaV_inc,0.0141118,V,inc,learning
mu_alphaP_con,0.0602244,P,con,learning
mu_alphaP_inc,0.0120134,P,inc,learning
mu_alphaV_con,0.103286,V,con,learning
mu_alphaV_inc,0.0142586,V,inc,learning
mu_alphaP_con,0.0587998,P,con,learning
mu_alphaP_inc,0.0117545,P,inc,learning
mu_alphaV_con,0.125402,V,con,learning
mu_alphaV_inc,0.0122515,V,inc,learning
mu_alphaP_con,0.066159,P,con,learning
mu_alphaP_inc,0.0117367,P,inc,learning
mu_alphaV_con,0.121733,V,con,learning
mu_alphaV_inc,0.0147415,V,inc,learning
mu_alphaP_con,0.0678199,P,con,learning
mu_alphaP_inc,0.0118869,P,inc,learning
mu_alphaV_con,0.113435,V,con,learning
mu_alphaV_inc,0.0130743,V,inc,learning
mu_alphaP_con,0.0592841,P,con,learning
mu_alphaP_inc,0.0113419,P,inc,learning
mu_alphaV_con,0.128995,V,con,learning
mu_alphaV_inc,0.0119203,V,inc,learning
mu_alphaP_con,0.0633486,P,con,learning
mu_alphaP_inc,0.0120203,P,inc,learning
mu_alphaV_con,0.120698,V,con,learning
mu_alphaV_inc,0.0126494,V,inc,learning
mu_alphaP_con,0.062742,P,con,learning
mu_alphaP_inc,0.0151077,P,inc,learning
mu_alphaV_con,0.11922,V,con,learning
mu_alphaV_inc,0.0120309,V,inc,learning
mu_alphaP_con,0.0676229,P,con,learning
mu_alphaP_inc,0.0121354,P,inc,learning
mu_alphaV_con,0.120195,V,con,learning
mu_alphaV_inc,0.0135433,V,inc,learning
mu_alphaP_con,0.0644396,P,con,learning
mu_alphaP_inc,0.013634,P,inc,learning
mu_alphaV_con,0.117999,V,con,learning
mu_alphaV_inc,0.0139014,V,inc,learning
mu_alphaP_con,0.0590741,P,con,learning
mu_alphaP_inc,0.0137728,P,inc,learning
mu_alphaV_con,0.112327,V,con,learning
mu_alphaV_inc,0.012738,V,inc,learning
mu_alphaP_con,0.0626389,P,con,learning
mu_alphaP_inc,0.0113194,P,inc,learning
mu_alphaV_con,0.126903,V,con,learning
mu_alphaV_inc,0.012759,V,inc,learning
mu_alphaP_con,0.0603864,P,con,learning
mu_alphaP_inc,0.0109325,P,inc,learning
mu_alphaV_con,0.11432,V,con,learning
mu_alphaV_inc,0.0115816,V,inc,learning
mu_alphaP_con,0.0643681,P,con,learning
mu_alphaP_inc,0.0121439,P,inc,learning
mu_alphaV_con,0.114728,V,con,learning
mu_alphaV_inc,0.0106856,V,inc,learning
mu_alphaP_con,0.0689088,P,con,learning
mu_alphaP_inc,0.0103057,P,inc,learning
mu_alphaV_con,0.117514,V,con,learning
mu_alphaV_inc,0.0130781,V,inc,learning
mu_alphaP_con,0.0616566,P,con,learning
mu_alphaP_inc,0.0123699,P,inc,learning
mu_alphaV_con,0.119897,V,con,learning
mu_alphaV_inc,0.0137926,V,inc,learning
mu_alphaP_con,0.060796,P,con,learning
mu_alphaP_inc,0.0108263,P,inc,learning
mu_alphaV_con,0.113245,V,con,learning
mu_alphaV_inc,0.0140411,V,inc,learning
mu_alphaP_con,0.0640331,P,con,learning
mu_alphaP_inc,0.0125027,P,inc,learning
mu_alphaV_con,0.119719,V,con,learning
mu_alphaV_inc,0.0128047,V,inc,learning
mu_alphaP_con,0.0662455,P,con,learning
mu_alphaP_inc,0.0118767,P,inc,learning
mu_alphaV_con,0.117322,V,con,learning
mu_alphaV_inc,0.0126412,V,inc,learning
mu_alphaP_con,0.0608673,P,con,learning
mu_alphaP_inc,0.0115408,P,inc,learning
mu_alphaV_con,0.117086,V,con,learning
mu_alphaV_inc,0.0136887,V,inc,learning
mu_alphaP_con,0.0657831,P,con,learning
mu_alphaP_inc,0.0136786,P,inc,learning
mu_alphaV_con,0.11881799999999999,V,con,learning
mu_alphaV_inc,0.0115058,V,inc,learning
mu_alphaP_con,0.0629998,P,con,learning
mu_alphaP_inc,0.0129027,P,inc,learning
mu_alphaV_con,0.119768,V,con,learning
mu_alphaV_inc,0.0145659,V,inc,learning
mu_alphaP_con,0.0633207,P,con,learning
mu_alphaP_inc,0.0125536,P,inc,learning
mu_alphaV_con,0.119714,V,con,learning
mu_alphaV_inc,0.0129333,V,inc,learning
mu_alphaP_con,0.0693637,P,con,learning
mu_alphaP_inc,0.0125115,P,inc,learning
mu_alphaV_con,0.11734,V,con,learning
mu_alphaV_inc,0.0142587,V,inc,learning
mu_alphaP_con,0.0573333,P,con,learning
mu_alphaP_inc,0.0116703,P,inc,learning
mu_alphaV_con,0.118491,V,con,learning
mu_alphaV_inc,0.0133022,V,inc,learning
mu_alphaP_con,0.0598998,P,con,learning
mu_alphaP_inc,0.0116591,P,inc,learning
mu_alphaV_con,0.114022,V,con,learning
mu_alphaV_inc,0.0118598,V,inc,learning
mu_alphaP_con,0.0660933,P,con,learning
mu_alphaP_inc,0.0117753,P,inc,learning
mu_alphaV_con,0.114246,V,con,learning
mu_alphaV_inc,0.0143231,V,inc,learning
mu_alphaP_con,0.0660052,P,con,learning
mu_alphaP_inc,0.0106839,P,inc,learning
mu_alphaV_con,0.11429,V,con,learning
mu_alphaV_inc,0.0136441,V,inc,learning
mu_alphaP_con,0.0672089,P,con,learning
mu_alphaP_inc,0.0119677,P,inc,learning
mu_alphaV_con,0.117478,V,con,learning
mu_alphaV_inc,0.0119341,V,inc,learning
mu_alphaP_con,0.0608122,P,con,learning
mu_alphaP_inc,0.0112337,P,inc,learning
mu_alphaV_con,0.109549,V,con,learning
mu_alphaV_inc,0.01459,V,inc,learning
mu_alphaP_con,0.0627107,P,con,learning
